epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.123,0.89344,1.53337,1.1902,0.65676,0.50121,0.57763,0.40306,1.18425,1.7692,1.39486,0.000661017,0.000661017,0.000661017
2,226.582,0.86672,1.17543,1.16623,0.61797,0.61259,0.65062,0.45278,1.15799,1.76735,1.45222,0.00128387,0.00128387,0.00128387
3,339.758,0.87839,1.1383,1.17404,0.66923,0.69073,0.74206,0.50505,1.16865,1.58716,1.45366,0.00186272,0.00186272,0.00186272
4,446.72,0.83758,1.0257,1.15567,0.76602,0.6586,0.73782,0.5265,1.01716,1.3472,1.25378,0.001802,0.001802,0.001802
5,584.524,0.82413,0.98818,1.15238,0.75057,0.66828,0.75851,0.56231,0.9651,1.12745,1.23825,0.001736,0.001736,0.001736
6,709.554,0.77776,0.93064,1.12445,0.83028,0.7046,0.81836,0.57072,1.07358,1.07095,1.28692,0.00167,0.00167,0.00167
7,1689.7,0.7892,0.89857,1.13715,0.82548,0.68717,0.81586,0.60147,0.97064,1.08669,1.2386,0.001604,0.001604,0.001604
8,1846.05,0.72346,0.85366,1.10118,0.76652,0.73123,0.80308,0.61485,0.8909,0.9388,1.19014,0.001538,0.001538,0.001538
9,1954.24,0.73088,0.85028,1.10627,0.79256,0.76029,0.83056,0.6311,0.95807,1.05257,1.23785,0.001472,0.001472,0.001472
10,2081.16,0.69028,0.79232,1.09807,0.81954,0.70373,0.81439,0.63096,0.90479,0.89997,1.19346,0.001406,0.001406,0.001406
11,2233.76,0.69144,0.7631,1.09471,0.78357,0.75388,0.81846,0.64138,0.84025,0.92502,1.14919,0.00134,0.00134,0.00134
12,2347.62,0.65158,0.7205,1.07138,0.89282,0.68577,0.83523,0.661,0.92643,0.85076,1.21423,0.001274,0.001274,0.001274
13,2460.67,0.65683,0.74851,1.07369,0.85732,0.8063,0.87967,0.69291,0.80889,0.74113,1.12284,0.001208,0.001208,0.001208
14,2601.77,0.61113,0.66739,1.04935,0.87013,0.76246,0.87666,0.71978,0.73311,0.70934,1.09085,0.001142,0.001142,0.001142
15,2720.79,0.60622,0.67008,1.05513,0.92796,0.73123,0.86097,0.69746,0.77961,0.72606,1.11758,0.001076,0.001076,0.001076
16,2864.9,0.58624,0.66592,1.0436,0.85094,0.79903,0.88117,0.71132,0.74391,0.64479,1.08462,0.00101,0.00101,0.00101
17,3031.03,0.589,0.64036,1.04079,0.84885,0.78867,0.88428,0.72782,0.70356,0.63799,1.07818,0.000944,0.000944,0.000944
18,3180.25,0.5735,0.63464,1.04129,0.92328,0.78208,0.89554,0.72209,0.70891,0.62679,1.06865,0.000878,0.000878,0.000878
19,3377.87,0.56289,0.59666,1.03625,0.8489,0.8184,0.89153,0.74077,0.69078,0.6472,1.08092,0.000812,0.000812,0.000812
20,3509.99,0.52941,0.57531,1.0136,0.86891,0.80872,0.88106,0.73496,0.68484,0.6152,1.08305,0.000746,0.000746,0.000746
21,3615.72,0.51792,0.56514,0.98485,0.88645,0.79389,0.88662,0.7248,0.71132,0.63665,1.09575,0.00068,0.00068,0.00068
22,3804.11,0.51364,0.52761,0.97665,0.85937,0.82567,0.90353,0.74414,0.71681,0.63065,1.06834,0.000614,0.000614,0.000614
23,4195.14,0.5017,0.5056,0.96838,0.86705,0.80145,0.88341,0.74837,0.64072,0.59847,1.04759,0.000548,0.000548,0.000548
24,4575.57,0.48369,0.4729,0.9676,0.89679,0.78692,0.89468,0.74516,0.67313,0.58792,1.06026,0.000482,0.000482,0.000482
25,4964.57,0.47731,0.46494,0.96681,0.84315,0.8523,0.91047,0.75325,0.6575,0.56368,1.04792,0.000416,0.000416,0.000416
26,5343.07,0.45665,0.45188,0.95049,0.87242,0.80387,0.89472,0.75378,0.65434,0.56024,1.04383,0.00035,0.00035,0.00035
27,5728.34,0.44794,0.43171,0.94268,0.85157,0.82324,0.88683,0.73996,0.63015,0.53849,1.02978,0.000284,0.000284,0.000284
28,6130.84,0.42199,0.42047,0.92624,0.8784,0.82809,0.89731,0.7648,0.612,0.50631,1.01461,0.000218,0.000218,0.000218
29,6540.11,0.41471,0.39371,0.91661,0.86123,0.81146,0.88401,0.74948,0.6294,0.534,1.0358,0.000152,0.000152,0.000152
30,6939.64,0.40252,0.38471,0.91981,0.92032,0.78302,0.89407,0.75487,0.62461,0.51692,1.02793,8.6e-05,8.6e-05,8.6e-05
